anio,mes,indice_tiempo,provincia,produccion_petroleo_promedio_dia_m3
2009,10,2009-10,Jujuy,53.3090322580645
2009,10,2009-10,La Pampa,3912.8215483871
2009,10,2009-10,La Rioja,0
2009,10,2009-10,Mendoza,14710.8087741935
2009,10,2009-10,Neuquén,21073.1180283871
2009,10,2009-10,Rio Negro,5706.34748387097
2009,10,2009-10,Salta,1569.32096774194
2009,10,2009-10,San Juan,0
2009,10,2009-10,Santa Cruz,20664.8107096129
2009,10,2009-10,Tierra del Fuego,2150.43961290323
2009,11,2009-11,Chubut,26014.6130333333
2009,11,2009-11,Estado Nacional,764.339666666667
2009,11,2009-11,Formosa,396.288
2009,11,2009-11,Jujuy,49.7223333333333
2009,11,2009-11,La Pampa,3642.72153333333
2009,11,2009-11,La Rioja,0
2009,11,2009-11,Mendoza,14816.1397
2009,11,2009-11,Neuquén,20590.1600412667
2009,11,2009-11,Rio Negro,5841.24663333333
2009,11,2009-11,Salta,1522.12933333333
2009,11,2009-11,San Juan,0
2009,11,2009-11,Santa Cruz,18615.9690633333
2009,11,2009-11,Tierra del Fuego,2053.73013333333
2009,12,2009-12,Chubut,25940.5863225806
2009,12,2009-12,Estado Nacional,810.707419354839
2009,12,2009-12,Formosa,338.084838709677
2009,12,2009-12,Jujuy,43.3683870967742
2009,12,2009-12,La Pampa,3888.24451612903
2009,12,2009-12,La Rioja,0
2009,12,2009-12,Mendoza,14952.752
2009,12,2009-12,Neuquén,20297.4882817742
2009,12,2009-12,Rio Negro,5737.01835483871
2009,12,2009-12,Salta,1505.60516129032
2009,12,2009-12,San Juan,0
2009,12,2009-12,Santa Cruz,18719.4785483871
2009,12,2009-12,Tierra del Fuego,2017.60351612903
2010,1,2010-01,Chubut,26686.6210322581
2010,1,2010-01,Estado Nacional,768.379032258065
2010,1,2010-01,Formosa,387.928064516129
2010,1,2010-01,Jujuy,48.1293548387097
2010,1,2010-01,La Pampa,3797.6835483871
2010,1,2010-01,La Rioja,0
2010,1,2010-01,Mendoza,14895.5096451613
2010,1,2010-01,Neuquén,20165.5324193548
2010,1,2010-01,Rio Negro,5592.01983870968
2010,1,2010-01,Salta,1463.18096774194
2010,1,2010-01,San Juan,0
2010,1,2010-01,Santa Cruz,20008.6906604129
2010,1,2010-01,Tierra del Fuego,1920.16541928742
2010,2,2010-02,Chubut,26548.8678571429
2010,2,2010-02,Estado Nacional,912.170357142857
2010,2,2010-02,Formosa,382.952142857143
2010,2,2010-02,Jujuy,55.3632142857143
2010,2,2010-02,La Pampa,3797.07678571429
2010,2,2010-02,La Rioja,0
2010,2,2010-02,Mendoza,14961.7078214286
2010,2,2010-02,Neuquén,20280.2698571429
2010,2,2010-02,Rio Negro,5745.89592857143
2010,2,2010-02,Salta,1456.93460714286
2010,2,2010-02,San Juan,0
2010,2,2010-02,Santa Cruz,19546.9891171379
2010,2,2010-02,Tierra del Fuego,1955.34739288786
2010,3,2010-03,Chubut,26743.0627096774
2010,3,2010-03,Estado Nacional,829.175483870968
2010,3,2010-03,Formosa,363.17935483871
2010,3,2010-03,Jujuy,55.0474193548387
2010,3,2010-03,La Pampa,3783.40896774194
2010,3,2010-03,La Rioja,0
2010,3,2010-03,Mendoza,14599.0006129032
2010,3,2010-03,Neuquén,20192.3966774194
2010,3,2010-03,Rio Negro,6093.91880645161
2010,3,2010-03,Salta,1400.61161290323
2010,3,2010-03,San Juan,0
2010,3,2010-03,Santa Cruz,19954.7443963768
2010,3,2010-03,Tierra del Fuego,1900.4012579971
2010,4,2010-04,Chubut,26850.9154666667
2010,4,2010-04,Estado Nacional,804.974
2010,4,2010-04,Formosa,360.735666666667
2010,4,2010-04,Jujuy,55.0176666666667
2010,4,2010-04,La Pampa,3744.47533333333
2010,4,2010-04,La Rioja,0
2010,4,2010-04,Mendoza,14475.77696
2010,4,2010-04,Neuquén,20199.6846666667
2010,4,2010-04,Rio Negro,6131.69903333333
2010,4,2010-04,Salta,1440.11533333333
2010,4,2010-04,San Juan,0
2010,4,2010-04,Santa Cruz,19841.6837553729
2010,4,2010-04,Tierra del Fuego,1888.13836661833
2010,5,2010-05,Chubut,26471.6590322581
2010,5,2010-05,Estado Nacional,855.509032258065
2010,5,2010-05,Formosa,332.453870967742
2010,5,2010-05,Jujuy,55.4790322580645
2010,5,2010-05,La Pampa,3862.3904516129
2010,5,2010-05,La Rioja,0
2010,5,2010-05,Mendoza,14625.9270322581
2010,5,2010-05,Neuquén,20089.641483871
2010,5,2010-05,Rio Negro,6151.30648387097
2010,5,2010-05,Salta,1428.94387096774
2010,5,2010-05,San Juan,0
2010,5,2010-05,Santa Cruz,19685.5276606468
2010,5,2010-05,Tierra del Fuego,1877.63267740839
2010,6,2010-06,Chubut,26607.2590666667
2010,6,2010-06,Estado Nacional,928.62
2010,6,2010-06,Formosa,305.512666666667
2010,6,2010-06,Jujuy,55.9083333333333
2010,6,2010-06,La Pampa,4102.68376666667
2010,6,2010-06,La Rioja,0
2010,6,2010-06,Mendoza,14833.5473666667
2010,6,2010-06,Neuquén,20029.0083
2010,6,2010-06,Rio Negro,6186.16003333333
2010,6,2010-06,Salta,1453.118
2010,6,2010-06,San Juan,0
2010,6,2010-06,Santa Cruz,19587.537801334
2010,6,2010-06,Tierra del Fuego,1830.18636657967
2010,7,2010-07,Chubut,26304.1662258065
2010,7,2010-07,Estado Nacional,977.48
2010,7,2010-07,Formosa,300.901612903226
2010,7,2010-07,Jujuy,54.571935483871
2010,7,2010-07,La Pampa,4005.82832258065
2010,7,2010-07,La Rioja,0
2010,7,2010-07,Mendoza,14625.1640322581
2010,7,2010-07,Neuquén,19842.4202903226
2010,7,2010-07,Rio Negro,6242.6445483871
2010,7,2010-07,Salta,1416.07451612903
2010,7,2010-07,San Juan,0
2010,7,2010-07,Santa Cruz,19710.1142903226
2010,7,2010-07,Tierra del Fuego,1949.10980646645
2010,8,2010-08,Chubut,26710.8102903226
2010,8,2010-08,Estado Nacional,914.417096774194
2010,8,2010-08,Formosa,294.465161290323
2010,8,2010-08,Jujuy,57.9258064516129
2010,8,2010-08,La Pampa,4067.09441935484
2010,8,2010-08,La Rioja,0
2010,8,2010-08,Mendoza,14383.3681612903
2010,8,2010-08,Neuquén,20097.7640322581
2010,8,2010-08,Rio Negro,6283.044
2010,8,2010-08,Salta,1393.12548387097
2010,8,2010-08,San Juan,0
2010,8,2010-08,Santa Cruz,19547.674763507
2010,8,2010-08,Tierra del Fuego,1815.48774189258
2010,9,2010-09,Chubut,25099.8475333333
2010,9,2010-09,Estado Nacional,711.371666666667
2010,9,2010-09,Formosa,337.379
2010,9,2010-09,Jujuy,70.4233333333333
2010,9,2010-09,La Pampa,4158.5159
2010,9,2010-09,La Rioja,0
2010,9,2010-09,Mendoza,14167.2082333333
2010,9,2010-09,Neuquén,19849.8658
2010,9,2010-09,Rio Negro,6168.85026666667
2010,9,2010-09,Salta,1369.29433333333
2010,9,2010-09,San Juan,0
2010,9,2010-09,Santa Cruz,20314.4505071397
2010,9,2010-09,Tierra del Fuego,1808.80453338433
2010,10,2010-10,Chubut,26620.4939354839
2010,10,2010-10,Estado Nacional,574.452903225806
2010,10,2010-10,Formosa,373.876774193548
2010,10,2010-10,Jujuy,72.1835483870968
2010,10,2010-10,La Pampa,4204.16406451613
2010,10,2010-10,La Rioja,0
2010,10,2010-10,Mendoza,14107.348
2010,10,2010-10,Misiones,0
2010,10,2010-10,Neuquén,19607.0369354839
2010,10,2010-10,Rio Negro,6090.01558064516
2010,10,2010-10,Salta,1352.61064516129
2010,10,2010-10,San Juan,0
2010,10,2010-10,Santa Cruz,18253.6284914978
2010,10,2010-10,Tierra del Fuego,1753.82422580387
2010,11,2010-11,Chubut,26514.3634333333
2010,11,2010-11,Estado Nacional,512.597
2010,11,2010-11,Formosa,343.725333333333
2010,11,2010-11,Jujuy,75.1266666666667
2010,11,2010-11,La Pampa,4359.66353333333
2010,11,2010-11,La Rioja,0
2010,11,2010-11,Mendoza,13749.3828333333
2010,11,2010-11,Neuquén,19444.0040333333
2010,11,2010-11,Rio Negro,6132.60496666667
2010,11,2010-11,Salta,1293.5291
2010,11,2010-11,San Juan,0
2010,11,2010-11,Santa Cruz,18933.4178242258
2010,11,2010-11,Tierra del Fuego,1734.654466622
2010,12,2010-12,Chubut,21297.0062258064
2010,12,2010-12,Estado Nacional,549.555806451613
2010,12,2010-12,Formosa,348.214838709677
2010,12,2010-12,Jujuy,71.668064516129
2010,12,2010-12,La Pampa,3997.04277419355
2010,12,2010-12,La Rioja,0
2010,12,2010-12,Mendoza,13505.1769677419
2010,12,2010-12,Neuquén,19435.7612580645
2010,12,2010-12,Rio Negro,5955.09606451613
2010,12,2010-12,Salta,1267.32935483871
2010,12,2010-12,San Juan,0
2010,12,2010-12,Santa Cruz,10931.8823847136
2010,12,2010-12,Tierra del Fuego,1725.70874200161
2011,1,2011-01,Chubut,26068.3278709677
2011,1,2011-01,Estado Nacional,486.093870967742
2011,1,2011-01,Formosa,328.194516129032
2011,1,2011-01,Jujuy,59.5764516129032
2011,1,2011-01,La Pampa,4507.56364516129
2011,1,2011-01,La Rioja,0
2011,1,2011-01,Mendoza,13702.7142903226
2011,1,2011-01,Neuquén,19000.6011935484
2011,1,2011-01,Rio Negro,5940.20316129032
2011,1,2011-01,Salta,1221.56709677419
2011,1,2011-01,San Juan,0
2011,1,2011-01,Santa Cruz,18898.8472320258
2011,1,2011-01,Tierra del Fuego,1677.82080645323
2011,2,2011-02,Chubut,26305.6562142857
2011,2,2011-02,Estado Nacional,503.866071428571
2011,2,2011-02,Formosa,315.028214285714
2011,2,2011-02,Jujuy,57.1285714285714
2011,2,2011-02,La Pampa,4326.66107142857
2011,2,2011-02,La Rioja,0
2011,2,2011-02,Mendoza,13774.5906428571
2011,2,2011-02,Neuquén,18865.1892857143
2011,2,2011-02,Rio Negro,5938.58171428571
2011,2,2011-02,Salta,1216.14357142857
2011,2,2011-02,San Juan,0
2011,2,2011-02,Santa Cruz,19489.512220129
2011,2,2011-02,Tierra del Fuego,1652.48328571536
2011,3,2011-03,Chubut,26391.7227741935
2011,3,2011-03,Estado Nacional,479.298387096774
2011,3,2011-03,Formosa,310.228387096774
2011,3,2011-03,Jujuy,48.8932258064516
2011,3,2011-03,La Pampa,4287.387
2011,3,2011-03,La Rioja,0
2011,3,2011-03,Mendoza,13627.006
2011,3,2011-03,Neuquén,18844.6912258065
2011,3,2011-03,Rio Negro,6014.79374193548
2011,3,2011-03,Salta,1190.43258064516
2011,3,2011-03,San Juan,0
2011,3,2011-03,Santa Cruz,19179.1344484531
2011,3,2011-03,Tierra del Fuego,1506.50312900161
2011,4,2011-04,Chubut,26684.9365
2011,4,2011-04,Estado Nacional,631.711333333333
2011,4,2011-04,Formosa,302.502
2011,4,2011-04,Jujuy,53.1633333333333
2011,4,2011-04,La Pampa,4341.20403333333
2011,4,2011-04,La Rioja,0
2011,4,2011-04,Mendoza,13512.6072
2011,4,2011-04,Neuquén,18685.6652
2011,4,2011-04,Rio Negro,5959.288
2011,4,2011-04,Salta,1110.86933333333
2011,4,2011-04,San Juan,0
2011,4,2011-04,Santa Cruz,3733.69141915167
2011,4,2011-04,Tierra del Fuego,1661.49933331433
2011,5,2011-05,Chubut,23933.5022580645
2011,5,2011-05,Estado Nacional,618.448387096774
2011,5,2011-05,Formosa,288.49935483871
2011,5,2011-05,Jujuy,57.0732258064516
2011,5,2011-05,La Pampa,4140.60748387097
2011,5,2011-05,La Rioja,0
2011,5,2011-05,Mendoza,13461.0732258065
2011,5,2011-05,Neuquén,18568.7100322581
2011,5,2011-05,Rio Negro,6044.3575483871
2011,5,2011-05,Salta,1221.26387096774
2011,5,2011-05,San Juan,0
2011,5,2011-05,Santa Cruz,10322.5360817387
2011,5,2011-05,Tierra del Fuego,1680.2966527129
2011,6,2011-06,Chubut,26104.1729
2011,6,2011-06,Estado Nacional,669.492333333333
2011,6,2011-06,Formosa,265.901
2011,6,2011-06,Jujuy,56.8846666666667
2011,6,2011-06,La Pampa,4037.43776666667
2011,6,2011-06,La Rioja,0
2011,6,2011-06,Mendoza,13397.4612666667
2011,6,2011-06,Neuquén,18412.58443
2011,6,2011-06,Rio Negro,6294.8451
2011,6,2011-06,Salta,1212.67473333333
2011,6,2011-06,San Juan,0
2011,6,2011-06,Santa Cruz,9359.61302012667
2011,6,2011-06,Tierra del Fuego,1717.52487074333
2011,7,2011-07,Chubut,26120.4722258065
2011,7,2011-07,Estado Nacional,625.116774193548
2011,7,2011-07,Formosa,272.680967741935
2011,7,2011-07,Jujuy,51.8606451612903
2011,7,2011-07,La Pampa,3905.78970967742
2011,7,2011-07,La Rioja,0
2011,7,2011-07,Mendoza,13420.1323548387
2011,7,2011-07,Neuquén,18269.034516129
2011,7,2011-07,Rio Negro,6624.51122580645
2011,7,2011-07,Salta,1185.68709677419
2011,7,2011-07,San Juan,0
2011,7,2011-07,Santa Cruz,13624.0720108381
2011,7,2011-07,Tierra del Fuego,1624.90222582645
2011,8,2011-08,Chubut,25804.6194945161
2011,8,2011-08,Estado Nacional,698.10064516129
