anio,mes,indice_tiempo,empresa,produccion_petroleo_promedio_dia_m3
2009,2,2009-02,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,17386.8560714286
2009,2,2009-02,PETRO ANDINA RESOURCES LTD.,4729.04214285714
2009,2,2009-02,PETROBRAS ARGENTINA S.A.,6982.69678571429
2009,2,2009-02,PETROFARO S.A.,0
2009,2,2009-02,PETROLEOS SUDAMERICANOS S.A.,259.043214285714
2009,2,2009-02,PETROLERA DEL COMAHUE S.A.,8.54821428571429
2009,2,2009-02,PETROLERA EL TREBOL S.A.,316.595607142857
2009,2,2009-02,PETROLERA ENTRE LOMAS S.A.,2195.03571428571
2009,2,2009-02,PETROLERA LF COMPANY S.R.L.,867.651785714286
2009,2,2009-02,PETROLERA PATAGONIA S.R.L.,26.1921428571429
2009,2,2009-02,PETROLERA PIEDRA DEL AGUILA S.A.,0
2009,2,2009-02,PETROLERA SAN JOSE S.R.L.,91.8664285714286
2009,2,2009-02,PETROMINERA CHUBUT S.E.,0
2009,2,2009-02,PETROQUIMICA COMODORO RIVADAVIA S.A.,1117.51785714286
2009,2,2009-02,PETRO TERRA CORPORATION,0.285714285714286
2009,2,2009-02,PLUSPETROL ENERGY S.A.,355.014642857143
2009,2,2009-02,PLUSPETROL S.A.,2108.85000596429
2009,2,2009-02,ROCH S.A.,315.2675
2009,2,2009-02,SIMA ENERGY S.A.,3
2009,2,2009-02,TECPETROL S.A.,4361.23492857143
2009,2,2009-02,TOTAL AUSTRAL S.A.,2150.30517857143
2009,2,2009-02,YPF S.A.,34663.5813214286
2009,3,2009-03,ALIANZA PETROLERA ARGENTINA S.A.,0
2009,3,2009-03,APACHE ENERGIA ARGENTINA S.R.L.,1185.83258064516
2009,3,2009-03,APACHE PETROLERA ARGENTINA S.A.,110.896774193548
2009,3,2009-03,APCO ARGENTINA INC.,0
2009,3,2009-03,ARGENTA ENERGIA S.A.,0
2009,3,2009-03,CAPEX S.A.,187.451612903226
2009,3,2009-03,CENTRAL INTERNATIONAL CORPORATION (SUCURSAL ARGENTINA),200.496774193548
2009,3,2009-03,CHAÑARES ENERGIA S.A.,602.555387096774
2009,3,2009-03,CHEVRON ARGENTINA S.R.L.,6906.1064516129
2009,3,2009-03,CLEAR S.R.L.,17.6869677419355
2009,3,2009-03,COLHUE HUAPI S.A.,73.6774193548387
2009,3,2009-03,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,22.6483870967742
2009,3,2009-03,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,1679
2009,3,2009-03,"CRI HOLDING, INC.",36.8838709677419
2009,3,2009-03,DAPETROL S.A.,74.2903225806452
2009,3,2009-03,EHRENCAP S.A.,0
2009,3,2009-03,ENAP SIPETROL ARGENTINA S.A.,1696.29903225806
2009,3,2009-03,ENARSA ENERGIA ARGENTINA S.A.,0
2009,3,2009-03,ENERGIAL S.A.,0
2009,3,2009-03,EPSUR S.A.,28.0861290322581
2009,3,2009-03,EZ HOLDINGS S.A.,0
2009,3,2009-03,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),8.17870967741935
2009,3,2009-03,GRECOIL y CIA. S.R.L.,17.7454838709677
2009,3,2009-03,INGENIERIA ALPA S.A.,21.1806451612903
2009,3,2009-03,INGENIERIA SIMA S.A.,0.989354838709677
2009,3,2009-03,INTERENERGY ARGENTINA S.A.,5.2258064516129
2009,3,2009-03,JHP INTERNATIONAL PETROLEUM ENGINEERING LTD,0
2009,3,2009-03,MADALENA ENERGY ARGENTINA SRL ,193.974193548387
2009,3,2009-03,MADALENA PETROLEUM (AMERICAS) LTD. (SUCURSAL ARGENTINA),730.864516129032
2009,3,2009-03,MEDANITO S.A.,149.016129032258
2009,3,2009-03,MISAHAR ARGENTINA S.A.,0.519032258064516
2009,3,2009-03,NECON S.A.,0
2009,3,2009-03,"OCCIDENTAL ARGENTINA EXPLORATION AND PRODUCTION, INC.",7305.59096774194
2009,3,2009-03,OIL M&S S.A.,1.77516129032258
2009,3,2009-03,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,17720.8835483871
