anio,mes,indice_tiempo,empresa,produccion_gas_promedio_dia_mm3
2009,2,2009-02,MADALENA PETROLEUM (AMERICAS) LTD. (SUCURSAL ARGENTINA),239.835964285714
2009,2,2009-02,MEDANITO S.A.,292.466571428571
2009,2,2009-02,MISAHAR ARGENTINA S.A.,0.505142857142857
2009,2,2009-02,NECON S.A.,0
2009,2,2009-02,"OCCIDENTAL ARGENTINA EXPLORATION AND PRODUCTION, INC.",1786.58128214286
2009,2,2009-02,OIL M&S S.A.,0
2009,2,2009-02,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,17668.3082142857
2009,2,2009-02,PETRO ANDINA RESOURCES LTD.,157.458214285714
2009,2,2009-02,PETROBRAS ARGENTINA S.A.,13746.5696428571
2009,2,2009-02,PETROFARO S.A.,0
2009,2,2009-02,PETROLEOS SUDAMERICANOS S.A.,29.8760714285714
2009,2,2009-02,PETROLERA EL TREBOL S.A.,6.92557142857143
2009,2,2009-02,PETROLERA ENTRE LOMAS S.A.,975.385714285714
2009,2,2009-02,PETROLERA LF COMPANY S.R.L.,4437.15714285714
2009,2,2009-02,PETROLERA PATAGONIA S.R.L.,0
2009,2,2009-02,PETROLERA PIEDRA DEL AGUILA S.A.,37.0708928571429
2009,2,2009-02,PETROLERA SAN JOSE S.R.L.,8.10928571428571
2009,2,2009-02,PETROMINERA CHUBUT S.E.,0
2009,2,2009-02,PETROQUIMICA COMODORO RIVADAVIA S.A.,570.402142857143
2009,2,2009-02,PLUSPETROL ENERGY S.A.,5563.49042857143
2009,2,2009-02,PLUSPETROL S.A.,3877.76321428571
2009,2,2009-02,ROCH S.A.,835.576785714286
2009,2,2009-02,SIMA ENERGY S.A.,11.4759642857143
2009,2,2009-02,TECPETROL S.A.,5360.97625
2009,2,2009-02,TOTAL AUSTRAL S.A.,31811.6875357143
2009,2,2009-02,YPF S.A.,34930.6536001429
2009,3,2009-03,ALIANZA PETROLERA ARGENTINA S.A.,0
