anio,mes,indice_tiempo,cuenca,produccion_petroleo_promedio_dia_m3
2010,7,2010-07,DEL COLORADO,0
2010,7,2010-07,GOLFO SAN JORGE,44240.1629677419
2010,7,2010-07,LOS BOLSONES,0
2010,7,2010-07,NEUQUINA,39487.5575483871
2010,7,2010-07,NOROESTE,1771.54806451613
2010,8,2010-08,AUSTRAL,4189.3004086254
2010,8,2010-08,CUYANA,5187.79706451613
2010,8,2010-08,DEL COLORADO,0
2010,8,2010-08,GOLFO SAN JORGE,44799.089483871
2010,8,2010-08,LOS BOLSONES,0
2010,8,2010-08,NEUQUINA,39643.4735483871
2010,8,2010-08,NOROESTE,1745.5164516129
2010,9,2010-09,AUSTRAL,4239.30930719065
2010,9,2010-09,CUYANA,5104.4718
2010,9,2010-09,DEL COLORADO,0
2010,9,2010-09,GOLFO SAN JORGE,43695.1649333333
2010,9,2010-09,LOS BOLSONES,0
2010,9,2010-09,NEUQUINA,39239.9684
2010,9,2010-09,NOROESTE,1777.09666666667
2010,10,2010-10,AUSTRAL,3857.72794310811
2010,10,2010-10,CUYANA,5147.50619354839
2010,10,2010-10,DEL COLORADO,0
2010,10,2010-10,GOLFO SAN JORGE,43344.6716129032
2010,10,2010-10,LOS BOLSONES,0
2010,10,2010-10,NEUQUINA,38861.0583870968
2010,10,2010-10,NOROESTE,1798.67096774194
2010,11,2010-11,AUSTRAL,3632.2724241811
2010,11,2010-11,CUYANA,5131.55603333333
2010,11,2010-11,DEL COLORADO,0
2010,11,2010-11,GOLFO SAN JORGE,44062.7603
2010,11,2010-11,LOS BOLSONES,0
2010,11,2010-11,NEUQUINA,38554.0993333333
2010,11,2010-11,NOROESTE,1712.3811
2010,12,2010-12,AUSTRAL,3751.56828800552
2010,12,2010-12,CUYANA,5060.92325806452
2010,12,2010-12,DEL COLORADO,0
2010,12,2010-12,GOLFO SAN JORGE,30752.5848709677
2010,12,2010-12,LOS BOLSONES,0
2010,12,2010-12,NEUQUINA,37832.1538064516
2010,12,2010-12,NOROESTE,1687.21225806452
2011,1,2011-01,AUSTRAL,3994.81539331774
2011,1,2011-01,CUYANA,5131.69335483871
2011,1,2011-01,DEL COLORADO,0
2011,1,2011-01,GOLFO SAN JORGE,43136.2743870968
2011,1,2011-01,LOS BOLSONES,0
2011,1,2011-01,NEUQUINA,38019.3889354839
2011,1,2011-01,NOROESTE,1609.33806451613
2011,2,2011-02,AUSTRAL,3895.61336298725
2011,2,2011-02,CUYANA,5201.14139285714
2011,2,2011-02,DEL COLORADO,0
2011,2,2011-02,GOLFO SAN JORGE,44055.9044285714
2011,2,2011-02,LOS BOLSONES,0
2011,2,2011-02,NEUQUINA,37703.8813214286
2011,2,2011-02,NOROESTE,1588.30035714286
2011,3,2011-03,AUSTRAL,3686.48215809988
2011,3,2011-03,CUYANA,5159.97422580645
2011,3,2011-03,DEL COLORADO,0
2011,3,2011-03,GOLFO SAN JORGE,43870.1765806452
2011,3,2011-03,LOS BOLSONES,0
2011,3,2011-03,NEUQUINA,37613.9037419355
2011,3,2011-03,NOROESTE,1549.55419354839
2011,4,2011-04,AUSTRAL,4046.602852466
2011,4,2011-04,CUYANA,5095.83526666667
2011,4,2011-04,DEL COLORADO,0
2011,4,2011-04,GOLFO SAN JORGE,28665.2357333333
2011,4,2011-04,LOS BOLSONES,0
2011,4,2011-04,NEUQUINA,37402.9291666667
2011,4,2011-04,NOROESTE,1466.53466666667
2011,5,2011-05,AUSTRAL,4135.81702477419
2011,5,2011-05,CUYANA,5149.94351612903
2011,5,2011-05,DEL COLORADO,0
2011,5,2011-05,GOLFO SAN JORGE,32418.9663548387
2011,5,2011-05,LOS BOLSONES,0
2011,5,2011-05,NEUQUINA,37064.8047741936
2011,5,2011-05,NOROESTE,1566.8364516129
2011,6,2011-06,AUSTRAL,4157.24335753667
2011,6,2011-06,CUYANA,5154.5766
2011,6,2011-06,DEL COLORADO,0
2011,6,2011-06,GOLFO SAN JORGE,33693.5597666667
2011,6,2011-06,LOS BOLSONES,0
2011,6,2011-06,NEUQUINA,36987.7519633333
2011,6,2011-06,NOROESTE,1535.4604
2011,7,2011-07,AUSTRAL,3951.92970763234
2011,7,2011-07,CUYANA,5204.07687096774
2011,7,2011-07,DEL COLORADO,0
2011,7,2011-07,GOLFO SAN JORGE,38042.6335290323
2011,7,2011-07,LOS BOLSONES,0
2011,7,2011-07,NEUQUINA,37015.3909354839
2011,7,2011-07,NOROESTE,1510.22870967742
2011,8,2011-08,AUSTRAL,3946.91706451613
2011,8,2011-08,CUYANA,5130.12251612903
2011,8,2011-08,DEL COLORADO,0
2011,8,2011-08,GOLFO SAN JORGE,42767.7459332258
2011,8,2011-08,LOS BOLSONES,0
2011,8,2011-08,NEUQUINA,37147.5801290323
2011,8,2011-08,NOROESTE,1547.81451612903
2011,9,2011-09,AUSTRAL,4067.4857
2011,9,2011-09,CUYANA,5151.0845
2011,9,2011-09,DEL COLORADO,0
2011,9,2011-09,GOLFO SAN JORGE,43658.6748906667
2011,9,2011-09,LOS BOLSONES,0
2011,9,2011-09,NEUQUINA,36781.966
2011,9,2011-09,NOROESTE,1535.62966666667
2011,10,2011-10,AUSTRAL,4279.26548387097
2011,10,2011-10,CUYANA,5115.93264516129
2011,10,2011-10,DEL COLORADO,0
2011,10,2011-10,GOLFO SAN JORGE,43966.0075348387
2011,10,2011-10,LOS BOLSONES,0
2011,10,2011-10,NEUQUINA,37014.3081935484
2011,10,2011-10,NOROESTE,1456.72096774194
2011,11,2011-11,AUSTRAL,4061.1388
2011,11,2011-11,CUYANA,5076.13283333333
2011,11,2011-11,DEL COLORADO,0
2011,11,2011-11,GOLFO SAN JORGE,44045.1490926667
2011,11,2011-11,LOS BOLSONES,0
2011,11,2011-11,NEUQUINA,36870.1961666667
2011,11,2011-11,NOROESTE,1436.00036666667
2011,12,2011-12,AUSTRAL,3958.89512903226
2011,12,2011-12,CUYANA,4973.05135483871
2011,12,2011-12,DEL COLORADO,0
2011,12,2011-12,GOLFO SAN JORGE,44128.1666696774
2011,12,2011-12,LOS BOLSONES,0
2011,12,2011-12,NEUQUINA,35941.0001935484
2011,12,2011-12,NOROESTE,1398.94177419355
2012,1,2012-01,AUSTRAL,4376.19012903226
2012,1,2012-01,CUYANA,4978.49248387097
2012,1,2012-01,DEL COLORADO,0
2012,1,2012-01,GOLFO SAN JORGE,43179.6760832258
2012,1,2012-01,LOS BOLSONES,0
2012,1,2012-01,NEUQUINA,34532.3129354839
2012,1,2012-01,NOROESTE,1357.20620645161
2012,2,2012-02,AUSTRAL,4289.56951724138
2012,2,2012-02,CUYANA,4947.31951724138
2012,2,2012-02,DEL COLORADO,0
2012,2,2012-02,GOLFO SAN JORGE,42423.8702786207
2012,2,2012-02,LOS BOLSONES,0
2012,2,2012-02,NEUQUINA,35387.0573448276
2012,2,2012-02,NOROESTE,1339.15931034483
2012,3,2012-03,AUSTRAL,4163.71283870968
2012,3,2012-03,CUYANA,4931.73696774194
2012,3,2012-03,DEL COLORADO,0
2012,3,2012-03,GOLFO SAN JORGE,42580.728083871
2012,3,2012-03,LOS BOLSONES,0
2012,3,2012-03,NEUQUINA,35769.4004193548
2012,3,2012-03,NOROESTE,1340.49361290323
2012,4,2012-04,AUSTRAL,4257.69823333333
2012,4,2012-04,CUYANA,4918.18696666667
2012,4,2012-04,DEL COLORADO,0
2012,4,2012-04,GOLFO SAN JORGE,42039.0176666667
2012,4,2012-04,LOS BOLSONES,0
2012,4,2012-04,NEUQUINA,35052.0969333333
2012,4,2012-04,NOROESTE,1531.72143333333
2012,5,2012-05,AUSTRAL,4334.61316129032
2012,5,2012-05,CAÑADON ASFALTO,0
2012,5,2012-05,CUYANA,4910.30429032258
2012,5,2012-05,DEL COLORADO,0
2012,5,2012-05,GOLFO SAN JORGE,42290.9698789652
2012,5,2012-05,LOS BOLSONES,0
2012,5,2012-05,NEUQUINA,35436.191483871
2012,5,2012-05,NOROESTE,1576.15629032258
2012,6,2012-06,AUSTRAL,4207.37103333333
2012,6,2012-06,CAÑADON ASFALTO,0
2012,6,2012-06,CUYANA,4979.35153333333
2012,6,2012-06,DEL COLORADO,0
2012,6,2012-06,GOLFO SAN JORGE,37995.1477
2012,6,2012-06,LOS BOLSONES,0
2012,6,2012-06,NEUQUINA,35762.2209946
2012,6,2012-06,NOROESTE,1549.30793333333
2012,7,2012-07,AUSTRAL,4285.53367741935
2012,7,2012-07,CAÑADON ASFALTO,0
