anio,mes,indice_tiempo,cuenca,produccion_gas_promedio_dia_mm3
2010,7,2010-07,DEL COLORADO,0
2010,7,2010-07,GOLFO SAN JORGE,14859.6026212903
2010,7,2010-07,LOS BOLSONES,0
2010,7,2010-07,NEUQUINA,72294.2981641935
2010,7,2010-07,NOROESTE,15022.1199354839
2010,8,2010-08,AUSTRAL,31280.5232903226
2010,8,2010-08,CUYANA,165.288131935484
2010,8,2010-08,DEL COLORADO,0
2010,8,2010-08,GOLFO SAN JORGE,14584.2125290323
2010,8,2010-08,LOS BOLSONES,0
2010,8,2010-08,NEUQUINA,73335.3991226129
2010,8,2010-08,NOROESTE,14580.2242580645
2010,9,2010-09,AUSTRAL,29428.3759666667
2010,9,2010-09,CUYANA,168.947348
2010,9,2010-09,DEL COLORADO,0
2010,9,2010-09,GOLFO SAN JORGE,14679.3302133333
2010,9,2010-09,LOS BOLSONES,0
2010,9,2010-09,NEUQUINA,72803.5656083333
2010,9,2010-09,NOROESTE,14213.0386666667
2010,10,2010-10,AUSTRAL,27957.6489677419
2010,10,2010-10,CUYANA,172.899986451613
2010,10,2010-10,DEL COLORADO,0
2010,10,2010-10,GOLFO SAN JORGE,14822.8126183871
2010,10,2010-10,LOS BOLSONES,0
2010,10,2010-10,NEUQUINA,70866.3747980645
2010,10,2010-10,NOROESTE,14025.0243548387
2010,11,2010-11,AUSTRAL,26724.9850666667
2010,11,2010-11,CUYANA,167.381289
2010,11,2010-11,DEL COLORADO,0
2010,11,2010-11,GOLFO SAN JORGE,14623.0995436667
2010,11,2010-11,LOS BOLSONES,0
2010,11,2010-11,NEUQUINA,68775.453906
2010,11,2010-11,NOROESTE,13443.0736
2010,12,2010-12,AUSTRAL,27175.1351935484
2010,12,2010-12,CUYANA,165.72927516129
2010,12,2010-12,DEL COLORADO,0
2010,12,2010-12,GOLFO SAN JORGE,12023.5499725806
2010,12,2010-12,LOS BOLSONES,0
2010,12,2010-12,NEUQUINA,69942.2052593548
2010,12,2010-12,NOROESTE,13503.8200967742
2011,1,2011-01,AUSTRAL,26369.6870645161
2011,1,2011-01,CUYANA,167.753799032258
2011,1,2011-01,DEL COLORADO,0
2011,1,2011-01,GOLFO SAN JORGE,14015.6716087097
2011,1,2011-01,LOS BOLSONES,0
2011,1,2011-01,NEUQUINA,69336.8637096774
2011,1,2011-01,NOROESTE,13237.6370967742
2011,2,2011-02,AUSTRAL,27123.4563214286
2011,2,2011-02,CUYANA,171.873503571429
2011,2,2011-02,DEL COLORADO,0
2011,2,2011-02,GOLFO SAN JORGE,14085.5187242857
2011,2,2011-02,LOS BOLSONES,0
2011,2,2011-02,NEUQUINA,69115.7422142857
2011,2,2011-02,NOROESTE,12967.6861428571
2011,3,2011-03,AUSTRAL,25868.3208709677
2011,3,2011-03,CUYANA,168.020942903226
2011,3,2011-03,DEL COLORADO,0
2011,3,2011-03,GOLFO SAN JORGE,13917.2654803226
2011,3,2011-03,LOS BOLSONES,0
2011,3,2011-03,NEUQUINA,68878.8726451613
2011,3,2011-03,NOROESTE,12719.867
2011,4,2011-04,AUSTRAL,30258.6454
2011,4,2011-04,CUYANA,162.999260666667
2011,4,2011-04,DEL COLORADO,0
2011,4,2011-04,GOLFO SAN JORGE,10110.3490943333
2011,4,2011-04,LOS BOLSONES,0
2011,4,2011-04,NEUQUINA,67907.6447
2011,4,2011-04,NOROESTE,11984.4868333333
2011,5,2011-05,AUSTRAL,30675.1677741935
2011,5,2011-05,CUYANA,166.694912580645
2011,5,2011-05,DEL COLORADO,0
2011,5,2011-05,GOLFO SAN JORGE,11564.1813325806
2011,5,2011-05,LOS BOLSONES,0
2011,5,2011-05,NEUQUINA,69452.9149032258
2011,5,2011-05,NOROESTE,13124.2240967742
2011,6,2011-06,AUSTRAL,31605.9799
2011,6,2011-06,CUYANA,163.80309
2011,6,2011-06,DEL COLORADO,0
2011,6,2011-06,GOLFO SAN JORGE,11810.781081
2011,6,2011-06,LOS BOLSONES,0
2011,6,2011-06,NEUQUINA,70511.2749333333
2011,6,2011-06,NOROESTE,13158.8577666667
2011,7,2011-07,AUSTRAL,30588.8337096774
2011,7,2011-07,CUYANA,160.799957419355
2011,7,2011-07,DEL COLORADO,0
2011,7,2011-07,GOLFO SAN JORGE,12914.6187240797
2011,7,2011-07,LOS BOLSONES,0
2011,7,2011-07,NEUQUINA,69993.8788064516
2011,7,2011-07,NOROESTE,12842.2711612903
2011,8,2011-08,AUSTRAL,31332.9181935484
2011,8,2011-08,CUYANA,164.071881290323
2011,8,2011-08,DEL COLORADO,0
2011,8,2011-08,GOLFO SAN JORGE,13827.9385927742
2011,8,2011-08,NEUQUINA,69641.3143225806
2011,8,2011-08,NOROESTE,12768.2887419355
2011,9,2011-09,AUSTRAL,31226.8066666667
2011,9,2011-09,CUYANA,171.411701
2011,9,2011-09,DEL COLORADO,0
2011,9,2011-09,GOLFO SAN JORGE,14249.9119522916
2011,9,2011-09,LOS BOLSONES,0
2011,9,2011-09,NEUQUINA,69053.4173
2011,9,2011-09,NOROESTE,12566.4121333333
2011,10,2011-10,AUSTRAL,31018.1243870968
2011,10,2011-10,CUYANA,174.651193548387
2011,10,2011-10,DEL COLORADO,0
2011,10,2011-10,GOLFO SAN JORGE,14483.5445967742
2011,10,2011-10,LOS BOLSONES,0
2011,10,2011-10,NEUQUINA,68609.8103870968
2011,10,2011-10,NOROESTE,12208.0808387097
2011,11,2011-11,AUSTRAL,29676.0268
2011,11,2011-11,CUYANA,177.316381666667
2011,11,2011-11,DEL COLORADO,0
2011,11,2011-11,GOLFO SAN JORGE,14500.146326787
2011,11,2011-11,LOS BOLSONES,0
2011,11,2011-11,NEUQUINA,68320.4893
2011,11,2011-11,NOROESTE,12072.5094
2011,12,2011-12,AUSTRAL,29820.4392258065
2011,12,2011-12,CUYANA,169.775392258064
2011,12,2011-12,DEL COLORADO,0
2011,12,2011-12,GOLFO SAN JORGE,14934.1031516129
2011,12,2011-12,LOS BOLSONES,0
2011,12,2011-12,NEUQUINA,66352.2331935484
2011,12,2011-12,NOROESTE,11875.5397096774
2012,1,2012-01,AUSTRAL,29575.5734193548
2012,1,2012-01,CUYANA,159.14950483871
2012,1,2012-01,DEL COLORADO,0
2012,1,2012-01,GOLFO SAN JORGE,14752.9515289051
2012,1,2012-01,LOS BOLSONES,0
2012,1,2012-01,NEUQUINA,67048.3197419355
2012,1,2012-01,NOROESTE,11498.6202258065
2012,2,2012-02,AUSTRAL,28856.7689310345
2012,2,2012-02,CUYANA,166.771344482759
2012,2,2012-02,DEL COLORADO,0
2012,2,2012-02,GOLFO SAN JORGE,14481.7664375862
2012,2,2012-02,LOS BOLSONES,0
2012,2,2012-02,NEUQUINA,64641.3458275862
2012,2,2012-02,NOROESTE,11379.0827241379
2012,3,2012-03,AUSTRAL,29073.6984516129
2012,3,2012-03,CUYANA,162.703827419355
2012,3,2012-03,DEL COLORADO,0
2012,3,2012-03,GOLFO SAN JORGE,14360.8108980645
2012,3,2012-03,LOS BOLSONES,0
2012,3,2012-03,NEUQUINA,66234.4627741935
2012,3,2012-03,NOROESTE,11220.12
2012,4,2012-04,AUSTRAL,31278.7321333333
2012,4,2012-04,CUYANA,161.325287333333
2012,4,2012-04,DEL COLORADO,0
2012,4,2012-04,GOLFO SAN JORGE,13985.590533
2012,4,2012-04,NEUQUINA,65982.033
2012,4,2012-04,NOROESTE,11035.8242
2012,5,2012-05,AUSTRAL,31083.8541290323
2012,5,2012-05,CAÑADON ASFALTO,0
2012,5,2012-05,CUYANA,161.746511290323
2012,5,2012-05,DEL COLORADO,0
2012,5,2012-05,GOLFO SAN JORGE,14377.6517564516
2012,5,2012-05,LOS BOLSONES,0
2012,5,2012-05,NEUQUINA,66145.0863225806
2012,5,2012-05,NOROESTE,10695.4671612903
2012,6,2012-06,AUSTRAL,31100.0886666667
2012,6,2012-06,CAÑADON ASFALTO,0
2012,6,2012-06,CUYANA,163.107468333333
2012,6,2012-06,DEL COLORADO,0
2012,6,2012-06,GOLFO SAN JORGE,13666.0466396667
2012,6,2012-06,LOS BOLSONES,0
2012,6,2012-06,NEUQUINA,66121.3801
2012,6,2012-06,NOROESTE,10580.9239
2012,7,2012-07,AUSTRAL,31140.1335806452
2012,7,2012-07,CAÑADON ASFALTO,0
2012,7,2012-07,CUYANA,160.654283870968
2012,7,2012-07,DEL COLORADO,0
2012,7,2012-07,GOLFO SAN JORGE,13927.72685
2012,7,2012-07,LOS BOLSONES,0
2012,7,2012-07,NEUQUINA,65782.9029354839
2012,7,2012-07,NORESTE,0
2012,7,2012-07,NOROESTE,10438.6117096774
2012,8,2012-08,AUSTRAL,30459.0410645161
2012,8,2012-08,CAÑADON ASFALTO,0
2012,8,2012-08,CUYANA,163.03373
2012,8,2012-08,DEL COLORADO,0
2012,8,2012-08,GOLFO SAN JORGE,14454.1201035484
2012,8,2012-08,LOS BOLSONES,0
2012,8,2012-08,NEUQUINA,66128.5199354839
2012,8,2012-08,NORESTE,0
2012,8,2012-08,NOROESTE,10224.9867096774
2012,9,2012-09,AUSTRAL,31017.0815666667
2012,9,2012-09,CAÑADON ASFALTO,0
2012,9,2012-09,CUYANA,150.662699333333
2012,9,2012-09,DEL COLORADO,0
2012,9,2012-09,GOLFO SAN JORGE,14556.4722993333
2012,9,2012-09,LOS BOLSONES,0
2012,9,2012-09,NEUQUINA,65389.1928
2012,9,2012-09,NORESTE,0
2012,9,2012-09,NOROESTE,10150.1423
2012,10,2012-10,AUSTRAL,30838.4762580645
2012,10,2012-10,CAÑADON ASFALTO,0
2012,10,2012-10,CUYANA,152.326677741935
2012,10,2012-10,DEL COLORADO,0
2012,10,2012-10,GOLFO SAN JORGE,14433.6395019355
2012,10,2012-10,LOS BOLSONES,0
