anio,mes,indice_tiempo,provincia,produccion_gas_promedio_dia_mm3
2009,10,2009-10,Santa Cruz,14022.1770451613
2009,10,2009-10,Tierra del Fuego,11720.8412903226
2009,11,2009-11,Chubut,9494.18723
2009,11,2009-11,Estado Nacional,7519.7719
2009,11,2009-11,Formosa,107.947333333333
2009,11,2009-11,Jujuy,11.6743333333333
2009,11,2009-11,La Pampa,1153.69546666667
2009,11,2009-11,Mendoza,5984.29950666667
2009,11,2009-11,Neuquén,55912.1246163333
2009,11,2009-11,Rio Negro,2291.67166666667
2009,11,2009-11,Salta,16829.1170333333
2009,11,2009-11,San Juan,0
2009,11,2009-11,Santa Cruz,13385.7564966667
2009,11,2009-11,Tierra del Fuego,11640.4734333333
2009,12,2009-12,Chubut,9493.92145483871
2009,12,2009-12,Estado Nacional,7445.08103225806
2009,12,2009-12,Formosa,97.0354838709677
2009,12,2009-12,Jujuy,11.0483870967742
2009,12,2009-12,La Pampa,1118.11741935484
2009,12,2009-12,Mendoza,6231.38293225807
2009,12,2009-12,Neuquén,57817.5304680645
2009,12,2009-12,Rio Negro,2145.2865483871
2009,12,2009-12,Salta,16517.2547419355
2009,12,2009-12,San Juan,0
2009,12,2009-12,Santa Cruz,12576.4254064516
2009,12,2009-12,Tierra del Fuego,11194.7168064516
2010,1,2010-01,Chubut,9516.04311612903
2010,1,2010-01,Estado Nacional,6848.93564516129
2010,1,2010-01,Formosa,107.247419354839
2010,1,2010-01,Jujuy,11.6329032258065
2010,1,2010-01,La Pampa,1086.48322580645
2010,1,2010-01,Mendoza,6219.12538709677
2010,1,2010-01,Neuquén,59359.7703277419
2010,1,2010-01,Rio Negro,2106.43783064516
2010,1,2010-01,Salta,15951.1497096774
2010,1,2010-01,San Juan,0
2010,1,2010-01,Santa Cruz,13149.882616129
2010,1,2010-01,Tierra del Fuego,10935.2804193548
2010,2,2010-02,Chubut,9602.7981
2010,2,2010-02,Estado Nacional,8332.25864285714
2010,2,2010-02,Formosa,106.511428571429
2010,2,2010-02,Jujuy,12.3010714285714
2010,2,2010-02,La Pampa,1251.91028571429
2010,2,2010-02,Mendoza,6156.26274285714
2010,2,2010-02,Neuquén,61472.4324360714
2010,2,2010-02,Rio Negro,2153.72164285714
2010,2,2010-02,Salta,15654.0308928571
2010,2,2010-02,San Juan,0
2010,2,2010-02,Santa Cruz,13327.1527357143
2010,2,2010-02,Tierra del Fuego,11285.8249285714
2010,3,2010-03,Chubut,9396.37730322581
2010,3,2010-03,Estado Nacional,8886.4585483871
2010,3,2010-03,Formosa,101.083548387097
2010,3,2010-03,Jujuy,13.0770967741935
2010,3,2010-03,La Pampa,1251.58580645161
2010,3,2010-03,Mendoza,6130.27323548387
2010,3,2010-03,Neuquén,60331.1839064516
2010,3,2010-03,Rio Negro,2176.91593548387
2010,3,2010-03,Salta,14805.9682580645
2010,3,2010-03,San Juan,0
2010,3,2010-03,Santa Cruz,13241.5693419355
2010,3,2010-03,Tierra del Fuego,10864.3593548387
2010,4,2010-04,Chubut,8983.19905666667
2010,4,2010-04,Estado Nacional,8063.89543333333
2010,4,2010-04,Formosa,102.09
2010,4,2010-04,Jujuy,13.2313333333333
2010,4,2010-04,La Pampa,1267.60576666667
2010,4,2010-04,Mendoza,6196.73512333333
2010,4,2010-04,Neuquén,60968.6245186667
2010,4,2010-04,Rio Negro,2302.51153333333
2010,4,2010-04,Salta,15358.0366333333
2010,4,2010-04,San Juan,0
2010,4,2010-04,Santa Cruz,12123.5548966667
2010,4,2010-04,Tierra del Fuego,11775.9139666667
2010,5,2010-05,Chubut,9821.86834193548
2010,5,2010-05,Estado Nacional,8515.65496774194
2010,5,2010-05,Formosa,95.0445161290323
2010,5,2010-05,Jujuy,13.2041935483871
2010,5,2010-05,La Pampa,1310.26958064516
2010,5,2010-05,Mendoza,6329.16601935484
2010,5,2010-05,Neuquén,63296.0247129032
2010,5,2010-05,Rio Negro,2515.32603225806
2010,5,2010-05,Salta,15216.9442903226
2010,5,2010-05,San Juan,0
2010,5,2010-05,Santa Cruz,12657.5824419355
2010,5,2010-05,Tierra del Fuego,12718.7710322581
2010,6,2010-06,Chubut,9960.704001
2010,6,2010-06,Estado Nacional,11325.6713333333
2010,6,2010-06,Formosa,89.7373333333333
2010,6,2010-06,Jujuy,12.6993333333333
2010,6,2010-06,La Pampa,1281.08536666667
2010,6,2010-06,Mendoza,6317.89769533333
2010,6,2010-06,Neuquén,62938.9235653333
2010,6,2010-06,Rio Negro,2603.66013333333
2010,6,2010-06,Salta,15255.2396
2010,6,2010-06,San Juan,0
2010,6,2010-06,Santa Cruz,12267.6987053333
2010,6,2010-06,Tierra del Fuego,11372.5424
2010,7,2010-07,Chubut,9907.12953387097
2010,7,2010-07,Estado Nacional,12126.5884193548
2010,7,2010-07,Formosa,87.8341935483871
2010,7,2010-07,Jujuy,12.7693548387097
2010,7,2010-07,La Pampa,1149.54629032258
2010,7,2010-07,Mendoza,6274.51876064516
2010,7,2010-07,Neuquén,62555.1907448387
2010,7,2010-07,Rio Negro,2460.52096774194
2010,7,2010-07,Salta,14921.5163870968
2010,7,2010-07,San Juan,0
2010,7,2010-07,Santa Cruz,12800.9231196774
2010,7,2010-07,Tierra del Fuego,11908.4572903226
2010,8,2010-08,Chubut,9825.76088290323
2010,8,2010-08,Estado Nacional,12081.5516774194
2010,8,2010-08,Formosa,90.0990322580645
2010,8,2010-08,Jujuy,14.6596774193548
2010,8,2010-08,La Pampa,1220.58003225806
2010,8,2010-08,Mendoza,6385.93161580645
2010,8,2010-08,Neuquén,63433.0265742258
2010,8,2010-08,Rio Negro,2461.14903225806
2010,8,2010-08,Salta,14475.4655483871
2010,8,2010-08,San Juan,0
2010,8,2010-08,Santa Cruz,12261.3713235484
2010,8,2010-08,Tierra del Fuego,11696.0519354839
2010,9,2010-09,Chubut,9623.22074966667
2010,9,2010-09,Estado Nacional,11336.2835666667
2010,9,2010-09,Formosa,94.0516666666667
2010,9,2010-09,Jujuy,15.4676666666667
2010,9,2010-09,La Pampa,1227.24233333333
2010,9,2010-09,Mendoza,6437.54028133333
2010,9,2010-09,Neuquén,62744.163375
2010,9,2010-09,Rio Negro,2563.56696666667
2010,9,2010-09,Salta,14103.5193333333
2010,9,2010-09,San Juan,0
2010,9,2010-09,Santa Cruz,11746.3126636667
2010,9,2010-09,Tierra del Fuego,11401.8892
2010,10,2010-10,Chubut,9825.91183354839
2010,10,2010-10,Estado Nacional,10350.7239032258
2010,10,2010-10,Formosa,99.8835483870968
2010,10,2010-10,Jujuy,15.5890322580645
2010,10,2010-10,La Pampa,1148.4235483871
2010,10,2010-10,Mendoza,6329.92882516129
2010,10,2010-10,Misiones,0
2010,10,2010-10,Neuquén,61025.4016045161
2010,10,2010-10,Rio Negro,2535.52080645161
2010,10,2010-10,Salta,13909.5517741935
2010,10,2010-10,San Juan,0
2010,10,2010-10,Santa Cruz,11642.8437848387
2010,10,2010-10,Tierra del Fuego,10960.9820645161
2010,11,2010-11,Chubut,9619.19482366667
2010,11,2010-11,Estado Nacional,9566.1919
2010,11,2010-11,Formosa,88.0706666666667
2010,11,2010-11,Jujuy,15.8466666666667
2010,11,2010-11,La Pampa,1262.9851
2010,11,2010-11,Mendoza,6389.28332233333
2010,11,2010-11,Neuquén,58580.2303726667
2010,11,2010-11,Rio Negro,2710.3364
2010,11,2010-11,Salta,13339.1562666667
2010,11,2010-11,San Juan,0
2010,11,2010-11,Santa Cruz,11225.6673533333
2010,11,2010-11,Tierra del Fuego,10937.0305333333
2010,12,2010-12,Chubut,9094.94333645161
2010,12,2010-12,Estado Nacional,10064.1219677419
2010,12,2010-12,Formosa,84.95
2010,12,2010-12,Jujuy,15.038064516129
2010,12,2010-12,La Pampa,1044.088
2010,12,2010-12,Mendoza,6295.78582354839
2010,12,2010-12,Neuquén,59994.5530658065
2010,12,2010-12,Rio Negro,2773.50764516129
2010,12,2010-12,Salta,13403.8320322581
2010,12,2010-12,San Juan,0
2010,12,2010-12,Santa Cruz,9438.59995870968
2010,12,2010-12,Tierra del Fuego,10601.0199032258
2011,1,2011-01,Chubut,9555.80046032258
2011,1,2011-01,Estado Nacional,9240.04893548387
2011,1,2011-01,Formosa,75.1306451612903
2011,1,2011-01,Jujuy,12.5370967741935
2011,1,2011-01,La Pampa,1264.65793548387
2011,1,2011-01,Mendoza,6177.87150870968
2011,1,2011-01,Neuquén,59156.8928064516
2011,1,2011-01,Rio Negro,2905.19525806452
2011,1,2011-01,Salta,13149.9693548387
2011,1,2011-01,San Juan,0
2011,1,2011-01,Santa Cruz,11623.7603741935
2011,1,2011-01,Tierra del Fuego,9965.74890322581
2011,2,2011-02,Chubut,9447.82539607143
2011,2,2011-02,Estado Nacional,9692.53510714286
2011,2,2011-02,Formosa,72.0228571428571
2011,2,2011-02,Jujuy,12.3353571428571
2011,2,2011-02,La Pampa,1232.25475
2011,2,2011-02,Mendoza,6157.12086071429
2011,2,2011-02,Neuquén,58799.2399285714
2011,2,2011-02,Rio Negro,3099.00017857143
2011,2,2011-02,Salta,12883.3279285714
2011,2,2011-02,San Juan,0
2011,2,2011-02,Santa Cruz,11616.4151853571
2011,2,2011-02,Tierra del Fuego,10452.1993571429
2011,3,2011-03,Chubut,9404.40840580645
2011,3,2011-03,Estado Nacional,9754.42061290323
2011,3,2011-03,Formosa,71.2367741935484
2011,3,2011-03,Jujuy,11.0503225806452
2011,3,2011-03,La Pampa,1206.25561290323
2011,3,2011-03,Mendoza,6088.80652354839
2011,3,2011-03,Neuquén,58483.5877096774
2011,3,2011-03,Rio Negro,3268.24374193548
2011,3,2011-03,Salta,12637.5799032258
2011,3,2011-03,San Juan,0
2011,3,2011-03,Santa Cruz,11557.8516874194
2011,3,2011-03,Tierra del Fuego,9068.90564516129
2011,4,2011-04,Chubut,9313.51386833333
2011,4,2011-04,Estado Nacional,13041.6362666667
2011,4,2011-04,Formosa,69.7583666666667
2011,4,2011-04,Jujuy,12.342
2011,4,2011-04,La Pampa,1207.3668
2011,4,2011-04,Mendoza,6055.53066066667
2011,4,2011-04,Neuquén,57385.4859
2011,4,2011-04,Rio Negro,3422.2606
2011,4,2011-04,Salta,11902.3864666667
2011,4,2011-04,San Juan,0
2011,4,2011-04,Santa Cruz,7557.02985933333
2011,4,2011-04,Tierra del Fuego,10456.8145
2011,5,2011-05,Chubut,9228.48278258065
2011,5,2011-05,Estado Nacional,12606.5369354839
2011,5,2011-05,Formosa,66.508064516129
2011,5,2011-05,Jujuy,13.3909677419355
2011,5,2011-05,La Pampa,1302.36696774194
2011,5,2011-05,Mendoza,6028.07836419355
2011,5,2011-05,Neuquén,58813.1459354839
