WKT,cuenca,ubicacion,tipo
"POLYGON ((-66.792564 -41.982487,-66.821087 -41.999177,-66.839314 -42.012218,-66.852641 -42.032958,-66.845789 -42.063548,-66.831417 -42.099979,-66.796205 -42.12341,-66.761214 -42.156347,-66.720884 -42.181732,-66.685869 -42.216554,-66.663501 -42.245467,-66.656624 -42.279863,-66.662439 -42.308349,-66.675636 -42.323394,-66.674039 -42.363418,-66.651656 -42.394228,-66.631455 -42.409763,-66.619233 -42.436612,-66.643184 -42.470554,-66.674879 -42.504383,-66.693363 -42.523157,-66.683619 -42.546161,-66.663571 -42.56932,-66.677143 -42.597695,-66.683177 -42.6338,-66.668256 -42.65688,-66.630199 -42.684101,-66.604616 -42.693996,-66.555986 -42.713726,-66.540839 -42.729164,-66.541342 -42.752018,-66.559859 -42.770813,-66.576322 -42.812498,-66.587553 -42.850438,-66.593738 -42.894166,-66.589703 -42.943749,-66.593268 -42.985605,-66.602163 -43.033094,-66.608379 -43.076818,-66.655691 -43.099003,-66.705721 -43.124927,-66.73505 -43.15306,-66.799184 -43.216825,-66.818169 -43.2451,-66.843439 -43.311359,-66.849497 -43.341741,-66.879151 -43.375539,-66.919172 -43.405348,-66.988314 -43.446075,-67.039129 -43.483274,-67.084708 -43.51865,-67.122315 -43.548427,-67.175788 -43.581715,-67.229051 -43.607355,-67.300719 -43.632601,-67.361676 -43.650405,-67.425076 -43.662411,-67.509545 -43.675824,-67.567382 -43.67836,-67.622509 -43.67901,-67.674232 -43.660672,-67.702418 -43.644764,-67.748851 -43.626512,-67.777661 -43.625817,-67.798097 -43.633189,-67.812296 -43.638305,-67.856334 -43.684839,-67.881992 -43.729916,-67.893576 -43.758036,-67.898063 -43.765308,-67.905672 -43.777629,-67.910652 -43.799875,-67.915732 -43.823044,-67.920406 -43.842487,-67.918532 -43.871697,-67.89515 -43.90213,-67.858724 -43.918271,-67.816755 -43.918765,-67.759469 -43.906953,-67.667437 -43.879203,-67.643586 -43.870188,-67.588417 -43.865685,-67.551069 -43.86113,-67.503798 -43.858984,-67.4753 -43.853937,-67.437481 -43.844679,-67.396362 -43.838847,-67.378665 -43.838781,-67.359205 -43.837123,-67.335647 -43.837607,-67.321113 -43.837902,-67.297497 -43.838381,-67.284405 -43.839404,-67.231759 -43.842238,-67.225044 -43.842887,-67.193527 -43.845931,-67.167202 -43.851044,-67.160108 -43.852968,-67.116799 -43.864717,-67.067658 -43.892285,-67.036963 -43.921403,-66.998628 -43.960167,-66.965582 -44.000732,-66.940219 -44.035448,-66.903896 -44.057008,-66.877987 -44.074571,-66.833739 -44.098151,-66.783856 -44.110354,-66.761023 -44.157612,-66.761643 -44.161956,-66.754542 -44.200323,-66.780059 -44.262779,-66.797101 -44.30441,-66.829913 -44.340077,-66.852807 -44.398753,-66.838382 -44.452305,-66.81809 -44.486912,-66.805534 -44.513765,-66.803924 -44.551879,-66.837114 -44.595157,-66.855746 -44.594858,-66.909704 -44.616831,-67.021554 -44.613022,-67.027075 -44.612206,-67.138267 -44.595676,-67.196471 -44.583155,-67.249648 -44.580222,-67.29033 -44.526097,-67.301353 -44.463024,-67.331838 -44.424318,-67.377573 -44.368152,-67.448682 -44.353323,-67.567244 -44.331689,-67.633672 -44.333998,-67.681704 -44.340503,-67.758743 -44.342482,-67.808865 -44.33555,-67.895265 -44.310553,-67.926886 -44.305938,-67.981781 -44.289288,-68.028076 -44.259507,-68.077149 -44.233435,-68.148631 -44.18006,-68.167847 -44.141428,-68.192712 -44.110269,-68.196249 -44.075882,-68.165022 -44.032929,-68.142508 -44.004981,-68.11438 -43.969559,-68.092847 -43.960616,-68.067485 -43.927012,-68.060193 -43.885294,-68.055365 -43.839709,-68.090206 -43.798776,-68.138123 -43.757459,-68.197716 -43.740571,-68.264471 -43.761542,-68.303586 -43.806144,-68.36137 -43.853985,-68.424391 -43.899742,-68.500146 -43.935551,-68.559105 -43.952782,-68.655333 -44.020235,-68.720711 -44.054321,-68.765296 -44.092867,-68.817976 -44.133028,-68.856705 -44.160309,-68.901577 -44.200698,-68.943265 -44.231661,-69.013593 -44.253976,-69.065854 -44.242605,-69.138067 -44.213349,-69.171394 -44.196893,-69.185566 -44.171617,-69.187876 -44.127715,-69.16732 -44.05798,-69.153585 -44.010853,-69.124616 -43.971888,-69.104063 -43.940238,-69.088663 -43.906506,-69.081785 -43.881975,-69.082403 -43.868256,-69.076028 -43.846565,-69.080944 -43.805847,-69.086037 -43.799226,-69.103799 -43.776122,-69.13134 -43.714135,-69.135802 -43.680012,-69.130685 -43.60146,-69.112694 -43.574861,-69.114943 -43.545479,-69.121788 -43.52999,-69.131742 -43.522013,-69.182894 -43.461067,-69.184986 -43.417187,-69.187809 -43.380884,-69.175011 -43.34516,-69.149705 -43.317496,-69.104962 -43.311494,-69.046917 -43.342145,-69.003849 -43.36272,-68.974253 -43.39042,-68.950675 -43.431255,-68.926709 -43.466378,-68.903048 -43.493003,-68.875278 -43.523386,-68.825101 -43.559369,-68.778157 -43.56283,-68.683089 -43.594516,-68.662262 -43.597092,-68.63829 -43.635952,-68.610912 -43.66159,-68.567557 -43.683905,-68.523764 -43.698607,-68.453931 -43.717876,-68.419532 -43.7132,-68.354203 -43.66941,-68.347146 -43.63533,-68.341526 -43.57834,-68.349398 -43.528577,-68.375428 -43.476376,-68.399811 -43.443269,-68.426897 -43.411977,-68.446834 -43.394226,-68.473863 -43.362926,-68.499925 -43.314506,-68.513784 -43.28169,-68.561535 -43.249725,-68.639033 -43.237753,-68.651426 -43.236113,-68.695919 -43.230206,-68.760592 -43.222381,-68.808407 -43.237947,-68.837576 -43.24649,-68.917957 -43.239948,-68.997126 -43.214345,-69.039489 -43.184272,-69.051704 -43.130496,-69.033919 -43.054914,-69.027899 -43.04179,-69.028426 -42.967456,-69.036154 -42.925274,-69.038341 -42.877554,-69.055778 -42.82549,-69.089038 -42.778577,-69.118301 -42.750854,-69.141543 -42.709992,-69.15431 -42.667609,-69.174677 -42.62304,-69.176518 -42.571527,-69.204423 -42.524773,-69.225323 -42.489696,-69.253772 -42.452434,-69.302462 -42.41059,-69.365805 -42.396747,-69.431164 -42.37517,-69.491743 -42.35946,-69.564043 -42.328006,-69.605956 -42.303451,-69.651069 -42.288281,-69.718079 -42.256944,-69.772665 -42.231803,-69.816425 -42.199469,-69.866233 -42.180201,-69.92126 -42.162601,-69.96297 -42.172214,-70.010518 -42.191102,-70.074642 -42.192066,-70.131252 -42.195249,-70.200793 -42.199725,-70.241946 -42.201646,-70.270581 -42.17555,-70.294397 -42.153492,-70.28668 -42.121453,-70.260677 -42.084541,-70.240552 -42.056889,-70.177772 -42.038791,-70.11771 -42.022454,-70.055862 -42.015686,-69.996004 -42.001183,-69.909859 -42.010641,-69.843649 -42.013475,-69.776669 -42.041075,-69.713141 -42.081838,-69.66256 -42.125843,-69.620107 -42.17711,-69.580971 -42.203461,-69.513023 -42.221424,-69.467662 -42.232737,-69.401173 -42.235322,-69.35897 -42.256003,-69.309178 -42.278855,-69.248281 -42.328783,-69.195102 -42.380299,-69.148572 -42.416304,-69.094402 -42.45447,-69.063398 -42.493682,-69.040074 -42.532624,-69.006309 -42.570015,-68.97075 -42.620798,-68.931862 -42.660253,-68.903356 -42.701251,-68.871668 -42.732818,-68.840281 -42.770079,-68.808514 -42.801629,-68.793339 -42.851679,-68.778592 -42.909328,-68.755379 -42.955821,-68.723596 -42.989252,-68.699116 -43.014818,-68.63681 -43.014913,-68.594824 -43.006721,-68.57532 -42.982561,-68.588954 -42.947844,-68.620369 -42.906842,-68.640304 -42.892865,-68.660676 -42.840772,-68.630873 -42.816961,-68.562877 -42.803859,-68.510601 -42.794053,-68.466591 -42.793487,-68.418404 -42.762552,-68.411159 -42.722761,-68.41205 -42.690346,-68.443958 -42.6589,-68.491696 -42.634586,-68.555784 -42.626892,-68.593985 -42.618067,-68.629084 -42.599803,-68.661163 -42.574012,-68.654522 -42.547548,-68.628067 -42.535051,-68.558213 -42.529639,-68.506484 -42.525525,-68.472861 -42.522745,-68.394342 -42.498435,-68.3469 -42.476979,-68.304265 -42.44774,-68.32289 -42.409092,-68.365648 -42.390679,-68.417765 -42.354835,-68.444675 -42.329251,-68.466353 -42.301913,-68.477153 -42.26348,-68.495326 -42.2191,-68.526053 -42.170511,-68.53701 -42.135872,-68.519255 -42.090697,-68.504874 -42.060655,-68.515221 -42.014601,-68.507823 -41.971003,-68.529348 -41.943657,-68.555544 -41.908545,-68.582434 -41.886742,-68.609402 -41.866833,-68.630441 -41.831867,-68.633665 -41.797455,-68.680067 -41.761671,-68.718911 -41.728009,-68.755502 -41.700126,-68.811004 -41.692572,-68.876964 -41.690345,-68.959378 -41.708459,-69.036761 -41.726702,-69.120388 -41.721802,-69.157848 -41.710913,-69.202551 -41.694031,-69.244583 -41.675312,-69.276441 -41.65697,-69.313107 -41.634629,-69.363407 -41.626995,-69.426844 -41.626451,-69.451802 -41.619762,-69.519909 -41.613262,-69.569375 -41.594141,-69.603373 -41.571807,-69.634944 -41.551466,-69.672615 -41.546119,-69.702312 -41.571576,-69.711779 -41.597862,-69.709801 -41.641777,-69.698101 -41.691808,-69.682766 -41.726739,-69.66755 -41.763573,-69.675034 -41.797566,-69.709286 -41.84951,-69.746777 -41.874635,-69.8007 -41.88,-69.869307 -41.877085,-69.927336 -41.868873,-69.984909 -41.854933,-70.038607 -41.823985,-70.090155 -41.798826,-70.124354 -41.780143,-70.156909 -41.740561,-70.157676 -41.685267,-70.137451 -41.653783,-70.081664 -41.621983,-70.058456 -41.617297,-69.991665 -41.606902,-69.948634 -41.574476,-69.948897 -41.543982,-69.979062 -41.506455,-70.012007 -41.472619,-70.037638 -41.442898,-70.058619 -41.419099,-70.097105 -41.392607,-70.120862 -41.372489,-70.15381 -41.340508,-70.162859 -41.326759,-70.168509 -41.301732,-70.182322 -41.251551,-70.172152 -41.217719,-70.124951 -41.227469,-70.071898 -41.260333,-70.0108 -41.253515,-69.971915 -41.23997,-69.915736 -41.230978,-69.884992 -41.224675,-69.862891 -41.233243,-69.839641 -41.26091,-69.807598 -41.271796,-69.769241 -41.229582,-69.764038 -41.191683,-69.766796 -41.159171,-69.76106 -41.113674,-69.753635 -41.079679,-69.748732 -41.045581,-69.745671 -41.001878,-69.74328 -40.967677,-69.730745 -40.931983,-69.721909 -40.913294,-69.705042 -40.887306,-69.674863 -40.886645,-69.648362 -40.902981,-69.607074 -40.923717,-69.56435 -40.923527,-69.533403 -40.911425,-69.506594 -40.885804,-69.488061 -40.871289,-69.458411 -40.840064,-69.426041 -40.805109,-69.404195 -40.777373,-69.385716 -40.762837,-69.366887 -40.7426,-69.340093 -40.715039,-69.311422 -40.69707,-69.265517 -40.683548,-69.229612 -40.669641,-69.181478 -40.659989,-69.158782 -40.657009,-69.10805 -40.68744,-69.078638 -40.698027,-69.051722 -40.708521,-69.029073 -40.749349,-69.01606 -40.78411,-69.041265 -40.828959,-69.066271 -40.869998,-69.08642 -40.913106,-69.109211 -40.958022,-69.128612 -40.987819,-69.150878 -41.023212,-69.170316 -41.052989,-69.184866 -41.084853,-69.192581 -41.128403,-69.191955 -41.15892,-69.198159 -41.177749,-69.212742 -41.209607,-69.224723 -41.239657,-69.21642 -41.268552,-69.215209 -41.289554,-69.20678 -41.316553,-69.190308 -41.336212,-69.176353 -41.355783,-69.146429 -41.362592,-69.080127 -41.353558,-69.036551 -41.343682,-69.017757 -41.325289,-69.020988 -41.294684,-69.023549 -41.252665,-69.027679 -41.237269,-69.048865 -41.211747,-69.069473 -41.176711,-69.062282 -41.140754,-69.049499 -41.095468,-69.037866 -41.069209,-69.008214 -41.035948,-68.989634 -41.019454,-68.960914 -41.001396,-68.92948 -40.979619,-68.921086 -40.964666,-68.922283 -40.941758,-68.918575 -40.920921,-68.907571 -40.904144,-68.883074 -40.870677,-68.869475 -40.852081,-68.848363 -40.833743,-68.8326 -40.820935,-68.814239 -40.806311,-68.80578 -40.78944,-68.796908 -40.764958,-68.790966 -40.748003,-68.777622 -40.733202,-68.764286 -40.718402,-68.726068 -40.706323,-68.686183 -40.709525,-68.667597 -40.736807,-68.646092 -40.756559,-68.628776 -40.760926,-68.605072 -40.738809,-68.588083 -40.701233,-68.564318 -40.677202,-68.548547 -40.662454,-68.52836 -40.659268,-68.490984 -40.66233,-68.474538 -40.683802,-68.478387 -40.710359,-68.474623 -40.735254,-68.473646 -40.76578,-68.485192 -40.795912,-68.498961 -40.820267,-68.517761 -40.844464,-68.532045 -40.87832,-68.542948 -40.895131,-68.528679 -40.910823,-68.487406 -40.938776,-68.46366 -40.966188,-68.452544 -40.995112,-68.438809 -41.022207,-68.425732 -41.062627,-68.399209 -41.086289,-68.352362 -41.106745,-68.291992 -41.108511,-68.234033 -41.108264,-68.206448 -41.110957,-68.168711 -41.112017,-68.124027 -41.1266,-68.101881 -41.138637,-68.085207 -41.160053,-68.081794 -41.196356,-68.067783 -41.221512,-68.048966 -41.252503,-68.009627 -41.276428,-67.966329 -41.268036,-67.928321 -41.265214,-67.913918 -41.282742,-67.900231 -41.317386,-67.88628 -41.346331,-67.852108 -41.375774,-67.820364 -41.403247,-67.788186 -41.421204,-67.758148 -41.429554,-67.717002 -41.4134,-67.652615 -41.384432,-67.616432 -41.364319,-67.56924 -41.319665,-67.542872 -41.289772,-67.516525 -41.259867,-67.46531 -41.240038,-67.391842 -41.232091,-67.35879 -41.225167,-67.327765 -41.202938,-67.303939 -41.169129,-67.280142 -41.135305,-67.259687 -41.126195,-67.21221 -41.13857,-67.162295 -41.15478,-67.133057 -41.187731,-67.091052 -41.217101,-67.063422 -41.22142,-67.027893 -41.214452,-67.004761 -41.199616,-66.973968 -41.181106,-66.950921 -41.168173,-66.923149 -41.166743,-66.890637 -41.176822,-66.858274 -41.192608,-66.83865 -41.213887,-66.809115 -41.242945,-66.794509 -41.264145,-66.74674 -41.272513,-66.70386 -41.275082,-66.661035 -41.279541,-66.623205 -41.281991,-66.577839 -41.286454,-66.524941 -41.292899,-66.500278 -41.321816,-66.493292 -41.350497,-66.503963 -41.37702,-66.52215 -41.399639,-66.553132 -41.427802,-66.568983 -41.458056,-66.584934 -41.49213,-66.585697 -41.526421,-66.575986 -41.545614,-66.558692 -41.56681,-66.518324 -41.576884,-66.462213 -41.562395,-66.426363 -41.545706,-66.357162 -41.506561,-66.341784 -41.497215,-66.287776 -41.452125,-66.259338 -41.41816,-66.236105 -41.391738,-66.195148 -41.361704,-66.161862 -41.335383,-66.14399 -41.324134,-66.085654 -41.309479,-66.042629 -41.304184,-65.992129 -41.306549,-65.94693 -41.327904,-65.9271 -41.36046,-65.937586 -41.390855,-65.986236 -41.436162,-66.047263 -41.454649,-66.108619 -41.49406,-66.154853 -41.533607,-66.18845 -41.573261,-66.20909 -41.593998,-66.249909 -41.606884,-66.319014 -41.638476,-66.372769 -41.660688,-66.406082 -41.67552,-66.480466 -41.708854,-66.52917 -41.72726,-66.567513 -41.736251,-66.606081 -41.754763,-66.642805 -41.801864,-66.648785 -41.83988,-66.631437 -41.861088,-66.619228 -41.88413,-66.665483 -41.896658,-66.701794 -41.924827,-66.727861 -41.94729,-66.792564 -41.982487))",CAÑADON ASFALTO,ONSHORE,No Productiva
"POLYGON ((-65.846388 -34.002204,-65.773326 -33.947215,-65.688445 -33.895471,-65.619231 -33.817933,-65.527104 -33.720934,-65.48881 -33.675667,-65.41978 -33.623801,-65.304679 -33.565203,-65.204901 -33.53237,-65.09696 -33.55097,-65.011778 -33.59543,-64.948845 -33.704485,-64.939624 -33.826856,-64.93086 -33.910558,-64.906932 -33.968346,-64.828453 -34.051403,-64.796204 -34.14132,-64.778939 -34.26359,-64.792806 -34.379721,-64.883925 -34.541683,-64.968624 -34.619755,-65.084681 -34.698013,-65.17018 -34.730841,-65.255746 -34.763621,-65.357045 -34.789965,-65.497685 -34.784185,-65.591572 -34.752319,-65.701134 -34.681748,-65.81061 -34.565973,-65.834135 -34.488672,-65.904307 -34.379191,-65.91997 -34.256752,-65.91236 -34.108513,-65.913846 -34.097674,-65.891549 -34.062807,-65.846388 -34.002204))",MERCEDES,ONSHORE,No Productiva
