producto,periodo_str,cuencas_sesco_total,cuencas_con_geometria,cuencas_sin_geometria,produccion_total_sesco,produccion_total_mapeada,porcentaje_produccion_mapeada
petroleo,2025-11,8,7,1,134225.1382764953,134225.1382764953,100.0
gas,2026-04,9,8,1,140508.91723333334,140508.9172333333,100.0
