periodo_str,producto,total_cuenca,total_empresa,total_provincia,diff_cuenca_vs_provincia_pct,diff_empresa_vs_provincia_pct
2012-01,gas,123034.61442084062,123034.6144208406,123034.61442084068,-4.730998767092303e-14,-5.913748458865379e-14
2012-02,gas,119525.73526482756,119525.73526482758,119525.73526482756,0.0,2.4349425997882143e-14
2012-03,gas,121051.79595129025,121051.79595129033,121051.79595129022,2.40424606905004e-14,9.61698427620016e-14
2012-04,gas,122443.50515366663,122443.5051536667,122443.50515366663,0.0,5.942297719304994e-14
2012-05,gas,122463.80588064512,122463.8058806452,122463.80588064509,2.3765250677492987e-14,9.506100270997195e-14
2012-06,gas,121631.54677466671,121631.54677466679,121631.54677466658,1.0767538564475407e-13,1.6749504433628409e-13
2012-07,gas,121450.02935967747,121450.0293596775,121450.0293596774,5.990906426737443e-14,8.387268997432421e-14
2012-08,gas,121429.70154322579,121429.70154322588,121429.70154322573,4.793527462697998e-14,1.1983818656744995e-13
2012-09,gas,121263.55166533333,121263.55166533327,121263.55166533333,0.0,-4.800095338961422e-14
2012-10,gas,119743.97282483875,119743.97282483873,119743.97282483862,1.0937271744514474e-13,8.506766912400147e-14
2012-11,gas,117197.35030000008,117197.35030000005,117197.35029999996,9.933272512470349e-14,7.449954384352761e-14
2012-12,gas,115386.37676391382,115386.376763914,115386.37676391388,-5.044586938765146e-14,1.0089173877530293e-13
2013-01,gas,114637.10911157122,114637.10911157134,114637.10911157134,-1.0155116674621724e-13,0.0
2013-02,gas,115270.29060000002,115270.29060000001,115270.29059999989,1.1361751269437833e-13,1.0099334461722518e-13
2013-03,gas,111604.56928338709,111604.56928338717,111604.56928338722,-1.1734935038613752e-13,-3.9116450128712505e-14
2013-04,gas,112514.310755,112514.31075499993,112514.31075499998,1.2933390544473637e-14,-5.1733562177894546e-14
2013-05,gas,114446.93228779142,114446.93228779148,114446.9322877914,2.5429978659059567e-14,7.62899359771787e-14
2013-06,gas,115042.51013351351,115042.51013351331,115042.51013351337,1.26491635235345e-13,-5.0596654094137993e-14
2013-07,gas,114465.52036371284,114465.52036371277,114465.52036371277,6.356462270091605e-14,0.0
2013-08,gas,115270.78110541703,115270.78110541697,115270.78110541703,0.0,-5.0496457432899273e-14
2013-09,gas,115381.89833625697,115381.898336257,115381.89833625715,-1.5134348217386662e-13,-1.2611956847822217e-13
2013-10,gas,114574.80312169043,114574.80312169038,114574.80312169029,1.270079880731823e-13,7.620479284390939e-14
2013-11,gas,114689.6860735206,114689.68607352056,114689.68607352053,6.34403830307745e-14,2.5376153212309802e-14
2013-12,gas,113447.76344542387,113447.76344542383,113447.7634454239,-2.5653948189762796e-14,-6.413487047440698e-14
2014-01,gas,114199.73791144058,114199.73791144064,114199.73791144068,-8.919758351596283e-14,-3.82275357925555e-14
2014-02,gas,113987.83801775583,113987.83801775581,113987.83801775586,-2.5532399739172355e-14,-3.829859960875853e-14
2014-03,gas,112191.52837728386,112191.5283772839,112191.52837728395,-7.782360453864676e-14,-3.891180226932338e-14
2014-04,gas,108534.56930159807,108534.56930159804,108534.569301598,5.36305264654608e-14,2.68152632327304e-14
2014-05,gas,114322.02169124683,114322.02169124682,114322.02169124682,1.2728881988867971e-14,0.0
2014-06,gas,114483.38447288153,114483.38447288144,114483.3844728815,2.5421881603812766e-14,-5.084376320762553e-14
2014-07,gas,115302.40722018648,115302.40722018664,115302.40722018655,-6.310325854939817e-14,7.57239102592778e-14
2014-08,gas,114802.47641686871,114802.47641686871,114802.47641686873,-1.2675610912369341e-14,-1.2675610912369341e-14
2014-09,gas,115187.71456853063,115187.71456853062,115187.71456853063,0.0,-1.2633218119549744e-14
2014-10,gas,112332.85898723571,112332.85898723578,112332.85898723593,-1.943142286179195e-13,-1.29542819078613e-13
2014-11,gas,113981.19236537289,113981.19236537287,113981.19236537284,3.830083260153983e-14,2.5533888401026554e-14
2014-12,gas,114486.38509654225,114486.3850965423,114486.3850965422,3.813182296592495e-14,8.897425358715822e-14
2015-01,gas,115980.87355414304,115980.87355414312,115980.87355414304,0.0,7.528093960202993e-14
2015-02,gas,115334.77645472452,115334.77645472453,115334.7764547246,-7.570265799619925e-14,-6.308554833016605e-14
2015-03,gas,116522.93832178155,116522.93832178158,116522.93832178164,-7.493073263316427e-14,-4.995382175544285e-14
2015-04,gas,117188.19533093265,117188.1953309325,117188.19533093266,-1.241756064872668e-14,-1.3659316713599348e-13
2015-05,gas,118383.92122931413,118383.92122931404,118383.92122931402,9.833710576407927e-14,2.4584276441019818e-14
2015-06,gas,118003.32364561794,118003.32364561793,118003.323645618,-4.932713682563205e-14,-6.165892103204006e-14
2015-07,gas,117325.30893271248,117325.30893271253,117325.30893271253,-4.961219488188196e-14,0.0
2015-08,gas,119862.34229266063,119862.3422926606,119862.34229266067,-3.642156898495188e-14,-6.07026149749198e-14
2015-09,gas,117977.1774809856,117977.17748098567,117977.1774809857,-8.63416202807405e-14,-2.4669034365925858e-14
