periodo_str,periodo_dt,anio,mes,producto,agrupador_tipo,agrupador_nombre,tipo_recurso,produccion,source_resource
2009-07,2009-07-01,2009,7,petroleo,cuenca,LOS BOLSONES,promedio_diario,0.0,Producción de petróleo promedio diaria por cuenca
2009-07,2009-07-01,2009,7,petroleo,cuenca,NEUQUINA,promedio_diario,38882.536359,Producción de petróleo promedio diaria por cuenca
2009-07,2009-07-01,2009,7,petroleo,cuenca,NOROESTE,promedio_diario,1994.82580645161,Producción de petróleo promedio diaria por cuenca
2009-08,2009-08-01,2009,8,petroleo,cuenca,AUSTRAL,promedio_diario,3620.99280645161,Producción de petróleo promedio diaria por cuenca
2009-08,2009-08-01,2009,8,petroleo,cuenca,CUYANA,promedio_diario,5122.17793548387,Producción de petróleo promedio diaria por cuenca
2009-08,2009-08-01,2009,8,petroleo,cuenca,DEL COLORADO,promedio_diario,0.0,Producción de petróleo promedio diaria por cuenca
2009-08,2009-08-01,2009,8,petroleo,cuenca,GOLFO SAN JORGE,promedio_diario,32980.1506451613,Producción de petróleo promedio diaria por cuenca
2009-08,2009-08-01,2009,8,petroleo,cuenca,LOS BOLSONES,promedio_diario,0.0,Producción de petróleo promedio diaria por cuenca
2009-08,2009-08-01,2009,8,petroleo,cuenca,NEUQUINA,promedio_diario,40398.5194852581,Producción de petróleo promedio diaria por cuenca
2009-08,2009-08-01,2009,8,petroleo,cuenca,NOROESTE,promedio_diario,2058.92258064516,Producción de petróleo promedio diaria por cuenca
2009-09,2009-09-01,2009,9,petroleo,cuenca,AUSTRAL,promedio_diario,5240.7241,Producción de petróleo promedio diaria por cuenca
2009-09,2009-09-01,2009,9,petroleo,cuenca,CUYANA,promedio_diario,4994.67416666667,Producción de petróleo promedio diaria por cuenca
2009-09,2009-09-01,2009,9,petroleo,cuenca,DEL COLORADO,promedio_diario,0.0,Producción de petróleo promedio diaria por cuenca
2009-09,2009-09-01,2009,9,petroleo,cuenca,GOLFO SAN JORGE,promedio_diario,44582.9223333333,Producción de petróleo promedio diaria por cuenca
